,,,,,,,,,,,,,,,,,,,,,,,,,ListofBronxBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,STSUFX1,,,,,BLDGNO2,,,,,STREET2,,,,STSUFX2,,,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,,STATUS3,,,,BLOCK,,,,LOT,,

10451,,,2401,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,,,2319,,,,2,,

10451,,,3055,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2378,,,,7501,,

10451,,,3103,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2380,,,,51,,

10451,,,3202,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,,,,,2620,,,,6,,

10451,,,3204,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2620,,,,7,,

10451,,,3213,,,,3RD,,,,,AVE,,,,,491,,,,,E 162ND,,,,ST,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2367,,,,26,,

10451,,,3221,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2367,,,,25,,

10451,,,3240 TO 3246,,,,3RD,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2620,,,,22,,

10451,,,740,,,,BROOK,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2360,,,,1,,

10451,,,871,,,,BROOK,,,,,AVE,,,,,3151 TO 3153,,,,,3RD,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2365,,,,29,,

10451,,,873,,,,BROOK,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2365,,,,26,,

10451,,,877,,,,BROOK,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2365,,,,25,,

10451,,,885,,,,BROOK,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2365,,,,20,,

10451,,,707,,,,CONCOURSE,,,,,VLGW,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2458,,,,7501,,

10451,,,747,,,,CONCOURSE,,,,,VLGW,,,,,180,,,,,E 156TH,,,,ST,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2458,,,,7501,,

10451,,,477 TO 479,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2329,,,,87,,

10451,,,483 TO 487,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2329,,,,83,,

10451,,,495,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2329,,,,82,,

10451,,,515,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2329,,,,72,,

10451,,,578,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2397,,,,3,,

10451,,,580,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2397,,,,5,,

10451,,,582,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2397,,,,6,,

10451,,,596,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2397,,,,7,,

10451,,,598,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2397,,,,9,,

10451,,,623 TO 625,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2411,,,,45,,

10451,,,630,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2398,,,,8,,

10451,,,650 TO 666,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2399,,,,6,,

10451,,,651,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2411,,,,139,,

10451,,,653,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,ARTICLES 14 & 15,,,,2411,,,,137,,

10451,,,655,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,ARTICLE 11,,,,2411,,,,137,,

10451,,,706,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2401,,,,4,,

10451,,,712,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGB,,,GARDENCOMPLEX,,,,,,,,,2401,,,,7,,

10451,,,794,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2404,,,,7,,

10451,,,796,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2404,,,,8,,

10451,,,855 TO 861,,,,COURTLANDT,,,,,AVE,,,,,863,,,,,COURTLANDT,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2419,,,,7501,,

10451,,,868 TO 870,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2407,,,,7501,,

10451,,,927 TO 929,,,,COURTLANDT,,,,,AVE,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,ROOMINGHOUSE,,,,,,,,,2409,,,,96,,

10451,,,224,,,,E 135TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (16),,,,2319,,,,160,,

10451,,,255,,,,E 138TH,,,,,ST,,,,,2551,,,,,3RD,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2333,,,,7501,,

10451,,,253,,,,E 142ND,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2334,,,,7501,,

10451,,,250,,,,E 144TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2334,,,,7501,,

10451,,,331,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2329,,,,53,,

10451,,,337,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2329,,,,96,,

10451,,,340,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2326,,,,25,,

10451,,,341,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2329,,,,94,,

10451,,,342,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2326,,,,26,,

10451,,,345,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2329,,,,93,,

10451,,,346,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2326,,,,28,,

10451,,,347,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2329,,,,92,,

10451,,,357,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2329,,,,83,,

10451,,,359,,,,E 146TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2329,,,,87,,

10451,,,277,,,,E 148TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2330,,,,1,,

10451,,,315 TO 317,,,,E 148TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2330,,,,59,,

10451,,,322,,,,E 148TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2329,,,,159,,

10451,,,324,,,,E 148TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2329,,,,160,,

10451,,,326,,,,E 148TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,ROOMINGHOUSE,,,,,,,,,2329,,,,161,,

10451,,,328,,,,E 148TH,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2329,,,,162,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page1of 130,,,
,,,,,,,,,,,,,,,,,,,ListofBronxBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,STREET1,,,STSUFX1,,,BLDGNO2,,,,STREET2,,,,STSUFX2,,,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,,STATUS3,,,BLOCK,,,,LOT,,

10451,,,330,,,E 148TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,2329,,,,163,,

10451,,,332,,,E 148TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2329,,,,164,,

10451,,,335 TO 337,,,E 148TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2330,,,,51,,

