,,,,,,,,,,,,,,,,,,,,,,ListofBrooklynBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,STSUFX2,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,BLOCK,,,,LOT,,

11201,,,436,,,,ALBEE,,,,,SQ,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,146,,,,48,,

11201,,,131,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,291,,,,45,,

11201,,,138,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,296,,,,19,,

11201,,,141,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,291,,,,40,,

11201,,,145,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,291,,,,38,,

11201,,,147,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,291,,,,37,,

11201,,,153,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGB,,,ROOMINGHOUSE,,,,,,,,291,,,,34,,

11201,,,155,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,291,,,,33,,

11201,,,174,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,297,,,,15,,

11201,,,176,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,297,,,,16,,

11201,,,177,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,,292,,,,49,,

11201,,,181,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,292,,,,47,,

11201,,,184,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,297,,,,19,,

11201,,,186,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,297,,,,19,,

11201,,,188,,,,AMITY,,,,,ST,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,297,,,,19,,

