,,,,,,,,,,,,,,,,,,,,,,,,,,,ListofQueens Buildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,,,STSUFX1,,,,,BLDGNO2,,,,,STREET2,,,,STSUFX2,,,COUNTY,,,CITY,,,,,,,STATUS1,,,STATUS2,,,,,STATUS3,,,BLOCK,,,,,LOT,,

11001,,,87-15 TO 87-45,,,,LITTLE NECK,,,,,,,PKWY,,,,,87-24 TO 87-48,,,,,256TH,,,,ST,,,63,,,FLORAL PARK,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,8823,,,,,26,,

11004,,,75-01 TO 75-99,,,,254TH,,,,,,,ST,,,,,73-01 TO 75-99,,,,,255TH,,,,ST,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8443,,,,,,,,1,,

11004,,,73-21,,,,260TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8446,,,,,,,,1,,

11004,,,73-35,,,,260TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8446,,,,,,,,1,,

11004,,,82-07 TO 82-63,,,,268TH,,,,,,,ST,,,,,81-07 TO 81-39,,,,,268TH,,,,ST,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8762,,,,,,,,1,,

11004,,,260-03,,,,74TH,,,,,,,AVE,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8446,,,,,,,,1,,

11004,,,263-21,,,,74TH,,,,,,,AVE,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8450,,,,,,,,1,,

11004,,,259-10,,,,HILLSIDE,,,,,,,AVE,,,,,,,,,,,,,,,,,63,,,FLORAL PARK,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,8789,,,,,31,,

11004,,,260-17,,,,LANGSTON,,,,,,,AVE,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8443,,,,,,,,1,,

11004,,,260-31,,,,LANGSTON,,,,,,,AVE,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,,8443,,,,,1,,

11004,,,264-20,,,,LANGSTON,,,,,,,AVE,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8450,,,,,,,,1,,

11004,,,72-07,,,,LITTLE NECK,,,,,,,PKWY,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGB,,,NON-EVICT COOP/CONDO,,,,,,,,8442,,,,,1,,

